,OR,CI_Lower,CI_Upper,P-Value
Q('CEA')[T.2.36],0.00979300085658487,7.150607974522227e-31,1.3411847792352274e+26,0.8886989531165559
Q('CEA')[T.2.37],0.4063484765156178,3.942444317566498e-12,41882413818.96928,0.9445098306901718
Q('CEA')[T.2.38],2141970651376.9531,0.0,inf,0.9999155678154701
Q('CEA')[T.2.4],827534935301246.4,0.0,inf,0.9999942526986952
Q('CEA')[T.2.44],10.508324821568332,0.04771871805482169,2314.0791508423877,0.3927788328670426
Q('CEA')[T.2.51],0.10693060122099447,1.984972038725687e-11,576035997.2034582,0.8449656107331451
Q('CEA')[T.2.54],0.4063484765153737,3.94244431802644e-12,41882413814.032814,0.9445098306898787
Q('CEA')[T.2.66],0.1069306012209961,1.984972038725546e-11,576035997.2035155,0.8449656107331467
Q('CEA')[T.2.68],0.006080929858849085,5.569843335027202e-86,6.638913470994869e+80,0.9582853837199463
Q('CEA')[T.2.76],0.40634847651545847,3.942444317858237e-12,41882413815.83697,0.9445098306899852
Q('CEA')[T.2.78],0.008447731660614936,3.749594160573842e-51,1.9032505160194176e+46,0.9330254655775571
Q('CEA')[T.2.8],0.10693060122100873,1.9849720387337333e-11,576035997.2012787,0.8449656107331275
Q('CEA')[T.2.84],0.0023658900921688223,2.1454038642223964e-87,2.6090360055594356e+81,0.9511669913497645
Q('CEA')[T.2.87],17257109705610.525,0.0,inf,0.9999804110291963
Q('CEA')[T.2.89],1.5497005384388818e-07,0.0,inf,0.9952588302999626
Q('CEA')[T.2.91],0.10693060122093943,1.9849720387379432e-11,576035997.1993079,0.8449656107330642
Q('CEA')[T.2.96],0.10693060122095031,1.9849720387136e-11,576035997.2064911,0.8449656107331556
Q('CEA')[T.3.01],1.3157966630050217e-07,0.0,inf,0.9949476754327746
Q('CEA')[T.3.02],0.10693060122098845,1.9849720387263145e-11,576035997.2032106,0.8449656107331387
Q('CEA')[T.3.1],2.272179829011461e-05,2.417344164789509e-224,2.1357327808621505e+214,0.9668469750329616
Q('CEA')[T.3.12],27008152514928.285,0.0,inf,0.9999924992162813
Q('CEA')[T.3.17],0.0075476253131224495,1.3717062737819354e-53,4.1529771319208254e+48,0.9346672393976436
Q('CEA')[T.3.22],1.3263169176694386e-09,0.0,inf,0.9989633502994694
Q('CEA')[T.3.25],0.00682409766136113,1.7903901521141422e-32,2.601014579800119e+27,0.8858871465168483
Q('CEA')[T.3.31],0.010943405472102723,4.3503831107644714e-18,27528178617308.742,0.8029371507344547
Q('CEA')[T.3.36],0.4063484765154189,3.94244431791212e-12,41882413815.256516,0.9445098306899492
Q('CEA')[T.3.5],0.4063484765155631,3.9424443170836986e-12,41882413824.086975,0.9445098306904308
Q('CEA')[T.3.75],0.10693060122095686,1.9849720387131133e-11,576035997.2067019,0.8449656107331619
Q('CEA')[T.3.78],0.06637949540306347,2.397992647948888e-19,1.8374691072277284e+16,0.8946939610984276
Q('CEA')[T.3.9],0.1696521906511994,1.7219774289395476e-24,1.6714426861260135e+22,0.9476388108611509
Q('CEA')[T.3.95],0.10693060122107302,1.9849720387409476e-11,576035997.1998768,0.8449656107331479
Q('CEA')[T.3.96],3.380167645677277e-05,0.0,inf,0.9791673257009431
Q('CEA')[T.4.05],0.10693060122100298,1.9849720387303765e-11,576035997.2021914,0.8449656107331349
Q('CEA')[T.4.1],0.0006224606514427581,9.549638348898458e-95,4.057297757660397e+87,0.9448384187993618
Q('CEA')[T.4.19],3.88425768496522e-06,0.0,inf,0.9945582965048745
Q('CEA')[T.4.36],2822223236.818269,0.0,inf,0.9997140713167757
Q('CEA')[T.4.39],0.00377908557133881,6.715897625091697e-39,2.1265195738159222e+33,0.8943383422825285
Q('CEA')[T.4.52],54595.48757987454,2.20165803527809e-200,1.353828440349809e+209,0.9637683957792985
Q('CEA')[T.4.64],127884846006689.7,0.0,inf,0.9999765557992727
Q('CEA')[T.4.65],1785977489.1762764,0.0,inf,0.9993278998919919
Q('CEA')[T.4.82],1388456861.4922519,0.0,inf,0.9994675428766575
Q('CEA')[T.5.16],195147.39339805467,0.0,inf,0.9761864842599511
Q('CEA')[T.5.22],4.943780135153888e-06,5.7002295e-317,4.287715255483374e+305,0.9733194018019545
Q('CEA')[T.5.24],0.1323301918476876,1.8552054718116893e-26,9.438997426708363e+23,0.9447769134776209
Q('CEA')[T.5.37],0.005450931529251984,5.415992457007621e-90,5.486095996708687e+84,0.9593319919636779
Q('CEA')[T.5.39],0.4063484765155857,3.942444317491228e-12,41882413819.76206,0.9445098306902086
Q('CEA')[T.5.81],0.5055244757420603,4.2954913811064377e-20,5.949377449535464e+18,0.9757102209517727
Q('CEA')[T.5.92],2.5219257424567885e-08,0.0,inf,0.9965678899432047
Q('CEA')[T.6.84],0.0577897259636893,2.7572770654906376e-20,1.2112139431892821e+17,0.8946256630456207
Q('CEA')[T.7.03],25.105967343488313,2.5620129335548053e-09,246021239001.99966,0.7836289416212501
Q('CEA')[T.7.42],7.198954243502785,5.859616237709575e-07,88444259.99526575,0.8126535819905153
Q('CEA')[T.7.76],0.009095676418252117,1.27817071810807e-49,6.472635332157001e+44,0.9319530976938133
Q('CEA')[T.7.93],330362.9882776915,0.0,inf,0.9801801162443623
Q('CEA')[T.8.06],4701.570020828296,2.1284959152592162e-60,1.0385155311918719e+67,0.9095352873605349
Q('CEA')[T.8.61],0.1069306012210119,1.984972038735468e-11,576035997.2008079,0.8449656107331237
Q('CEA')[T.8.79],23346.941053860133,1.563271966133462e-141,3.4867871258551408e+149,0.9529724305393754
Q('CEA')[T.9.74],0.023927110088589023,1.2802516439877535e-33,4.471828643064313e+29,0.9190710652488947
Q('CEA')[T.10.36],54.99572592304443,0.06346167407785584,47659.15670759138,0.24561753408931886
Q('CEA')[T.10.65],77.28932622344671,1.0406467519842506e-13,5.740314796240082e+16,0.803474542257333
Q('CEA')[T.11.72],2.344371043284376e-06,0.0,inf,0.9857468919097309
Q('CEA')[T.12.32],0.07964306208900537,2.022564394990828e-31,3.1361262734687153e+28,0.9419874119566864
Q('CEA')[T.14.23],0.0015074642086718348,2.7369862554080726e-65,8.302739321165444e+58,0.928623838865768
Q('CEA')[T.15.8],65797036975.452896,0.0,inf,0.9997899976095423
Q('CEA')[T.16.29],66167303.51240329,0.0,inf,0.9974156941663874
Q('CEA')[T.17.69],3462977949.057655,0.0,inf,0.99899953732983
Q('CEA')[T.20.05],0.028799520399872387,5.0142267304790727e-26,1.6541182117295654e+22,0.8988693305731855
Q('CEA')[T.30.77],0.00025138430229167016,1.5221923477437559e-233,4.1515165630895664e+225,0.9754454025725514
Q('CEA')[T.31.76],8.800598616741053e-07,0.0,inf,0.9969424632193892
Q('CEA')[T.40.3],99597.27272993504,1.813552438498828e-257,5.469715969973826e+266,0.9701437754377502
Q('CEA')[T.42.35],4781985.067541533,0.0,inf,0.9926800702436454
Q('CEA')[T.214.72],2.0846799431651465e-05,0.0,inf,0.9825018077666757
Q('CEA')[T.无],0.416713154726445,0.004153427697168429,41.80880611944943,0.7096796235285808
Q('实性成分大小'),1.0547163006708087,0.9377700101865379,1.1862465879874278,0.37430743777707676
Q('毛刺征'),11.98060860445147,0.3955296707588144,362.8930852587827,0.1535867187081926
Q('支气管异常征'),4.882046926258632,0.17032954707431275,139.93099024558967,0.3543874471968501
Q('胸膜凹陷征'),0.25316715188476013,0.010438654435568986,6.1400257273625884,0.3984433575300871
